FILE	LINE	PROC	PUB	CLOBBERS	PRESERVES	OUT	COMPUTED_WRITES	CONTRACT
engine/level/collision_lookup.emp	22	Collision_GetType	pub	d1-d3/a0	-	d0	d0/d1	yes
engine/level/plane_buffer.emp	62	Plane_Buffer_Reset	pub	-	-	-	(none)	no
engine/level/plane_buffer.emp	77	Draw_TileColumn	pub	d0-d5/a0-a2	-	-	a0/a2/d0/d1/d2/d3/d4/d5	yes
engine/level/plane_buffer.emp	226	Draw_TileRow_FromCache	pub	d0-d5/a0-a2	-	-	a0/a2/d0/d1/d2/d3/d4/d5	yes
engine/level/plane_buffer.emp	326	Draw_BG_TileColumn	pub	d0-d3/a1-a2	-	-	a1/a2/d0/d2/d3	yes
engine/level/plane_buffer.emp	381	VInt_DrawLevel	pub	d0-d1/a0/a5-a6	-	-	a0/a5/a6/d0/d1	yes
engine/level/section.emp	140	Section_Init	pub	d0-d7/a0-a4	-	-	(none)	yes
engine/level/section.emp	162	Section_FillInitial	pub	d0	-	-	d0	yes
engine/level/section.emp	187	Section_FlatIDXY	pub	d1	-	d0	d0/d1	yes
engine/level/section.emp	209	Section_GetSecPtrXY	pub	d1	-	d0/a0	a0/d0/d1/d2	yes
engine/level/section.emp	273	Section_RedrawPlanes	pub	d0-d4/d6/a0-a6	-	d5/d7	a1/a2/a5/a6/a7/d0/d1/d2/d3/d4/d5/d6/d7	yes
engine/level/section.emp	481	Section_UpdateColumns	pub	d0-d7/a0-a3/a5-a6	-	-	a0/d0/d1/d3/d5/d6/d7	yes
engine/level/tile_cache.emp	127	Tile_Cache_GetTile	pub	d0-d1/a0	-	d2	a0/d0/d1/d2	yes
engine/level/tile_cache.emp	156	Tile_Cache_GetCollision	pub	d1-d2/a0	-	d0	a0/d0/d1/d2	yes
engine/level/tile_cache.emp	198	TileCache_FindStagedBlock	pub	d3-d4/a1	-	-	a1/d3/d4	yes
engine/level/tile_cache.emp	226	TileCache_InvalidateStaging	pub	d0/a0	-	-	a0/d0	yes
engine/level/tile_cache.emp	248	TileCache_DecompressBlock	pub	d0-d7/a0/a2-a4	-	a1	a0/a1/a3/d0/d3/d4/d5/d7	yes
engine/level/tile_cache.emp	370	TileCache_CopyBlockColumn	pub	d0-d3/d5/a0/a2-a3	-	-	a0/a2/d1/d2/d3/d5	yes
engine/level/tile_cache.emp	466	Tile_Cache_Init	pub	d0-d7/a0-a6	-	-	d0/d1	yes
engine/level/tile_cache.emp	520	TileCache_FillAll	pub	d0-d7/a0-a6	-	-	a0/a5/a6/a7/d0/d1/d2/d3/d4/d5/d6/d7	yes
engine/level/tile_cache.emp	666	TileCache_WarmupBelowRow	pub	d0-d7/a0-a4	-	-	a0/d0/d1/d2/d3/d5/d6/d7	yes
engine/level/tile_cache.emp	716	Tile_Cache_Fill	pub	d0-d7/a0-a6	-	-	a0/a7/d0/d1/d2/d3/d4/d5/d6/d7	yes
engine/level/tile_cache.emp	1217	TileCache_FillColumn	pub	d1-d7/a0-a6	-	d0	a5/a6/d0/d1/d2/d3/d4/d6/d7	yes
engine/level/tile_cache.emp	1311	TileCache_FillRow	pub	d1-d7/a0-a6	-	d0	a0/a2/a3/a4/a5/a7/d0/d1/d2/d3/d4/d6/d7	yes
engine/level/tile_cache.emp	1498	TileCache_HSlide	pub	d0-d1	-	-	d1	yes
engine/level/tile_cache.emp	1524	TileCache_VSlide	pub	d0	-	-	d0	yes
engine/level/tile_cache.emp	1546	TileCache_VSlideUp	pub	d0-d1	-	-	d1	yes
engine/level/tile_cache.emp	1569	TileCache_Reinit	pub	d0-d7/a0-a6	-	-	d0/d1	yes
engine/objects/animate.emp	70	AnimateSprite	pub	d0-d2/a1-a2	-	-	a1/a2/d0/d1/d2	yes
engine/objects/animate.emp	268	RefreshSpritePieceCount	pub	d2/a1	-	-	d2	yes
engine/objects/collision.emp	119	TouchResponse	pub	d0-d7/a0-a3	-	-	a0/a1/a2/a3/a4/d0/d1/d2/d3/d4/d6/d7	yes
engine/objects/collision.emp	191	Touch_HandlerTable	-	-	-	-	(none)	no
engine/objects/collision.emp	212	Touch_None	-	-	-	-	(none)	no
engine/objects/collision.emp	213	Touch_Enemy	-	-	-	-	(none)	no
engine/objects/collision.emp	214	Touch_Boss	-	-	-	-	(none)	no
engine/objects/collision.emp	215	Touch_Monitor	-	-	-	-	(none)	no
engine/objects/collision.emp	216	Touch_Ring	-	-	-	-	(none)	no
engine/objects/collision.emp	217	Touch_Bubble	-	-	-	-	(none)	no
engine/objects/collision.emp	218	Touch_Projectile	-	-	-	-	(none)	no
engine/objects/collision.emp	219	Touch_SolidBreak	-	-	-	-	(none)	no
engine/objects/collision.emp	220	Touch_Spring	-	-	-	-	(none)	no
engine/objects/collision.emp	221	Touch_SolidHurt	-	-	-	-	(none)	no
engine/objects/collision.emp	222	Touch_Touch	-	-	-	-	(none)	no
engine/objects/collision.emp	232	Touch_Hurt	-	()	-	-	(none)	yes
engine/objects/collision.emp	247	Touch_Solid	-	d0-d5	-	-	d0/d1/d2/d3/d4/d5	yes
engine/objects/core.emp	43	InitObjectRAM	pub	d0-d1/a0-a1	-	-	a0/a1/d0/d1	yes
engine/objects/core.emp	101	AllocDynamic	pub	d0	-	a1	a0/a1/d0	yes
engine/objects/core.emp	160	AllocEffect	pub	d0	-	a1	a1/d0	yes
engine/objects/core.emp	192	DeleteObject	pub	d0/a1	-	-	a1/d0/d1	yes
engine/objects/core.emp	301	CompactDynamicLive	-	d0-d1/a0-a2	-	-	a0/a1/a2/d0/d1	yes
engine/objects/core.emp	351	DrainDynamicPending	-	d0-d2/a0-a1	-	-	a0/a1/d0/d1/d2	yes
engine/objects/core.emp	412	RunObjects	pub	d0-d6/a0-a6	-	-	a0/a1/a2/d0/d7	yes
engine/objects/core.emp	544	Debug_AssertObjLoop	pub	()	-	-	(none)	yes
engine/objects/core.emp	567	RunObjects_Frozen	pub	d0-d6/a0-a6	-	-	a0/a2/d0/d7	yes
engine/objects/core.emp	619	ObjectMove	pub	d0	-	-	d0	yes
engine/objects/core.emp	637	ObjectMoveX	pub	d0	-	-	d0	yes
engine/objects/core.emp	651	ObjectMoveY	pub	d0	-	-	d0	yes
engine/objects/dplc.emp	90	Perform_DPLC	pub	d0-d4/a1-a2	-	-	a2/d0/d1/d2/d3/d4	yes
engine/objects/dplc.emp	105	Perform_DPLC_Deferrable	pub	d0-d4/a1-a2	-	-	a2/d0/d1/d2/d3/d4	yes
engine/objects/entity_window.emp	141	Collected_Init	-	d1/a0	-	-	a0/d1	yes
engine/objects/entity_window.emp	168	Collected_FindSlot	-	d1	-	a0	a0/d1	yes
engine/objects/entity_window.emp	191	Collected_CheckRing	-	d2/a0	-	-	d2	yes
engine/objects/entity_window.emp	216	Collected_MarkRing	pub	d0-d1/a0	-	-	d0/d1	yes
engine/objects/entity_window.emp	238	Killed_CheckObject	-	d2/a0	-	-	d2	yes
engine/objects/entity_window.emp	265	Killed_MarkObject	pub	d0-d3/a0	-	-	d0/d1/d2/d3	yes
engine/objects/entity_window.emp	299	Collected_ClaimSlot	-	d1/a1	-	a0	a0/d1	yes
engine/objects/entity_window.emp	334	Collected_ParkSlot	-	d0-d1/a1	-	-	a0/a1/d0/d1	yes
engine/objects/entity_window.emp	417	Collected_UnparkSlot	-	d1/a1	-	-	a0/a1/d1	yes
engine/objects/entity_window.emp	456	Collected_UpdateCenter	-	d0-d5/a0-a1	-	-	a0/d0/d1/d2/d3/d4/d5	yes
engine/objects/entity_window.emp	544	EntityLoaded_Test	pub	d0/d2/a0	-	-	a0/d0/d2	yes
engine/objects/entity_window.emp	560	EntityLoaded_Set	pub	d0/d2/a0	-	-	a0/d0/d2	yes
engine/objects/entity_window.emp	576	EntityLoaded_Clear	pub	d0/d2/a0	-	-	a0/d0/d2	yes
engine/objects/entity_window.emp	595	EntityWindow_EntryForSection	pub	d1/a0	-	-	a0/d0/d1	yes
engine/objects/entity_window.emp	628	EntityWindow_InitSection	-	d3/a2	-	-	a2/d3	yes
engine/objects/entity_window.emp	683	EntityWindow_DeriveWindow	-	d0	-	d2-d5	d0/d2/d3/d4/d5	yes
engine/objects/entity_window.emp	718	EntityWindow_BuildEntries	-	d0-d7/a0-a3	-	-	a1/a2/a3/d0/d1/d2/d3/d4/d5/d6/d7	yes
engine/objects/entity_window.emp	802	EntityWindow_Init	pub	d0-d7/a0-a4	-	-	a0/a2/d0/d1/d2/d3	yes
engine/objects/entity_window.emp	861	EntityWindow_Scan	pub	d0-d7/a0-a5	-	-	a1/a3/d0/d5/d6/d7	yes
engine/objects/entity_window.emp	934	EntityWindow_TrySpawnRing	-	d0-d2	-	-	a0/d0/d1/d2/d3	yes
engine/objects/entity_window.emp	1030	EntityWindow_ScanRingsRight	-	d0-d4/a0	-	-	a0/d0/d3/d4	yes
engine/objects/entity_window.emp	1082	EntityWindow_PopulateSectionRings	-	d0-d4/a0/a2	-	-	a0/a2/d0/d1/d3/d4	yes
engine/objects/entity_window.emp	1140	EntityWindow_TrySpawnObject	-	d0-d2/a2	-	-	a0/a1/a2/d0/d1/d2/d3/d5	yes
engine/objects/entity_window.emp	1237	EntityWindow_ScanObjectsRight	-	d0-d4/a0/a2	-	-	a0/d0/d3/d4	yes
engine/objects/entity_window.emp	1286	EntityWindow_RescanY	-	d0-d6/a0-a3	-	-	a1/a3/d5/d6	yes
engine/objects/entity_window.emp	1317	EntityWindow_RescanRings	-	d0-d4/a0	-	-	a0/d0/d3/d4	yes
engine/objects/entity_window.emp	1343	EntityWindow_RescanObjects	-	d0-d4/a0/a2	-	-	a0/d0/d3/d4	yes
engine/objects/entity_window.emp	1372	EntityWindow_DespawnRings	-	d0-d7/a0-a1	-	-	a0/d0/d1/d2/d3/d5/d6/d7	yes
engine/objects/entity_window.emp	1460	EntityWindow_DespawnObjects	-	d0-d7/a0-a3	-	-	a0/a2/d0/d1/d2/d3/d5	yes
engine/objects/entity_window.emp	1548	EntityWindow_MigrateMasks	-	d0-d3/a0-a1	-	-	a0/a1/d0/d1/d2/d3	yes
engine/objects/entity_window.emp	1609	EntityWindow_Slide	-	d0-d7/a0-a4	-	-	a0/a1/a2/a3/a4/d0/d1/d2/d3/d4/d5/d6	yes
engine/objects/load_object.emp	38	Load_Object	pub	d0-d3/a1/a2/a3	-	-	a3/d0/d1/d3	yes
engine/objects/load_object.emp	106	Load_ObjectList	pub	d0-d3/a0/a1/a2/a3	-	-	a1/d0/d1/d2	yes
engine/objects/rings.emp	49	RingBuffer_Add	pub	d4/a0	-	-	a0/d4	yes
engine/objects/rings.emp	98	RingBuffer_Remove	pub	d1-d2/a0-a1	-	-	a0/a1/d1/d2	yes
engine/objects/rings.emp	135	RingBuffer_Clear	pub	()	-	-	(none)	yes
engine/objects/rings.emp	155	DrawRings	pub	d0-d4/d6-d7/a0	-	d5	a0/d0/d1/d2/d3/d4/d5/d6/d7	yes
engine/objects/rings.emp	256	RingCollision	pub	d0-d7/a0-a3	-	-	a2/a3/d0/d1/d2/d3/d6/d7	yes
engine/objects/sprites.emp	26	InitSpriteSystem	pub	d0/a0	-	-	a0/d0	yes
engine/objects/sprites.emp	55	Draw_Sprite	pub	d0-d3/a1	-	-	a1/d0/d1/d2/d3	yes
engine/objects/sprites.emp	194	Render_Sprites	pub	d0-d7/a0-a6	-	-	a0/a1/a2/a3/a4/a5/a7/d0/d1/d2/d3/d5/d6/d7	yes
engine/objects/sprites.emp	635	Emit_ObjectPieces	-	d0-d1/d4/a0-a1/a3/a6	-	d5	a0/a1/a3/a6/d0/d1/d4/d5	yes
engine/objects/sprites.emp	675	InsertSpriteMasks	-	d0/d1	-	d5	d0/d1/d5	yes
engine/sound/sound_api.emp	110	Sound_PostByte	pub	()	sr	-	(none)	yes
engine/sound/sound_api.emp	132	Sound_Init	pub	()	sr	-	(none)	yes
engine/sound/sound_api.emp	148	Sound_Ping	pub	a0	-	-	a0	yes
engine/sound/sound_api.emp	157	Sound_PlaySample	pub	a0	-	-	a0	yes
engine/sound/sound_api.emp	178	Sound_PlayMusic	pub	d0-d4/a0-a1	sr	-	a0/a1/d0/d1/d2/d3/d4	yes
engine/sound/sound_api.emp	259	Sound_PlaySFX	pub	-	d1/a0	-	a0/d1	yes
engine/sound/sound_api.emp	324	Sound_DrainSfxRing	pub	d0/d1/a0	sr	-	a0/d0/d1	yes
engine/sound/sound_api.emp	356	Sound_PlayRing	pub	d0	-	-	d0	yes
engine/sound/sound_api.emp	376	Sound_StopMusic	pub	d0/a0	-	-	a0/d0	yes
engine/sound/sound_api.emp	390	Sound_SetTempo	pub	a0	-	-	a0	yes
engine/sound/sound_api.emp	400	Sound_FadeOut	pub	d0/a0	-	-	a0/d0	yes
engine/sound/sound_api.emp	410	Sound_FadeIn	pub	d0/a0	-	-	a0/d0	yes
engine/system/controllers.emp	13	Read_Controllers	pub	d0/d1/a0	-	-	a0/d0/d1	yes
engine/system/game_loop.emp	18	GameLoop	pub	d0-d7/a0-a6	-	-	a0	yes
engine/system/game_loop.emp	43	GameState_Idle	pub	-	-	-	(none)	no
engine/system/hblank.emp	17	HBlank_Dispatch	pub	-	d0-d1/a0	-	a0	yes
engine/system/hblank.emp	28	HBlank_Null	pub	()	-	-	(none)	yes
engine/system/math.emp	21	GetSineCosine	pub	()	-	d0/d1	d0/d1	yes
engine/system/vdp_init.emp	26	VDP_Shadow_Init	pub	d0/a0/a1	-	-	a0/a1/d0	yes
engine/system/vdp_init.emp	44	Flush_VDP_Shadow	pub	d0-d3/a0-a1	-	-	a0/a1/d0/d1/d2/d3	yes
games/sonic4/objects/test_particle.emp	24	TestParticle	pub	d0-d3/a1-a2	-	-	(none)	yes
games/sonic4/objects/test_particle.emp	45	TestParticle_Main	pub	d0-d3/a1-a2	-	-	(none)	yes
games/sonic4/objects/test_solid.emp	15	TestSolid_Init	pub	d0-d3/a1	-	-	(none)	yes
games/sonic4/objects/test_solid.emp	32	TestSolid_Main	pub	d0-d3/a1	-	-	(none)	yes
